Timestamp,Angle,Speed_RPM,Filtered_Speed_RPM
0.155,302.15,4.08,4.08
0.446,295.09,4.08,4.08
0.745,287.89,4.08,4.08
1.052,280.56,4.08,4.08
1.379,273.23,4.08,4.08
1.655,265.76,4.08,4.08
1.964,258.15,4.08,4.08
2.269,249.60,4.08,4.08
2.569,241.58,4.08,4.08
2.876,233.84,4.08,4.08
3.179,226.37,4.08,4.08
3.482,218.91,4.08,4.08
3.788,211.57,4.08,4.08
4.093,204.10,4.08,4.08
4.399,196.91,4.08,4.08
4.703,189.57,4.08,4.08
5.010,182.10,4.08,4.08
5.313,174.36,4.08,4.08
5.651,166.76,4.08,4.08
5.923,159.16,4.08,4.08
6.229,151.41,4.08,4.08
6.538,144.08,4.08,4.08
6.837,137.43,4.08,4.08
7.142,130.77,4.08,4.08
7.446,123.85,4.08,4.08
7.757,116.79,4.08,4.08
8.061,109.72,4.08,4.08
8.365,102.53,4.08,4.08
8.666,95.33,4.08,4.08
8.973,88.00,4.08,4.08
9.280,80.53,4.08,4.08
9.586,73.20,4.08,4.08
9.886,65.86,4.08,4.08
