Timestamp,Roll,Pitch,Yaw
1.008,-3.88,-22.44,359.88
2.007,-3.88,-22.44,359.88
3.002,-3.88,-22.44,359.88
3.995,-3.88,-22.44,359.88
5.001,-3.88,-22.44,359.88
5.997,-3.88,-22.44,359.88
6.996,-3.88,-22.44,359.88
7.999,-3.88,-22.44,359.88
8.997,-3.88,-22.44,359.88
9.999,0.25,-25.06,347.56
10.997,1.38,-23.31,337.44
11.998,0.06,-29.44,329.69
12.996,-4.25,-28.06,327.31
13.997,-4.88,-27.19,313.06
15.000,-3.81,-30.19,317.56
15.998,-1.38,-30.31,314.31
16.999,-4.25,-28.69,303.31
18.000,0.38,-28.75,293.56
19.001,5.19,-26.44,280.19
20.001,3.12,-26.00,267.69
21.010,3.56,-26.38,264.06
22.002,-3.69,-26.00,277.00
23.003,-11.19,-27.56,283.25
24.001,-12.88,-26.12,280.44
25.001,-16.25,-23.69,290.19
26.005,-20.31,-22.06,294.38
27.003,-16.12,-24.94,287.88
28.003,-14.12,-24.38,288.50
29.004,1.50,-27.19,258.06
30.005,9.50,-21.38,210.69
31.007,13.25,-10.88,159.94
32.007,7.69,-6.81,121.50
33.007,7.62,-7.56,118.25
34.007,-2.88,-6.69,116.81
35.006,-5.75,-8.62,119.31
36.008,-6.69,-13.06,118.88
37.007,-4.69,-10.31,124.12
38.009,-3.12,-14.00,117.44
39.010,-5.81,-16.44,116.00
40.009,-5.88,-17.75,112.19
41.011,-6.81,-14.50,108.31
42.010,-9.62,-17.75,118.12
43.011,-9.56,-22.62,120.06
44.011,-10.69,-21.56,118.62
45.012,-13.75,-21.62,126.44
46.011,-13.06,-17.06,131.12
47.013,-12.69,-18.44,132.06
48.012,-11.19,-20.00,130.75
49.015,-11.25,-22.38,130.81
50.015,-9.50,-22.31,127.25
51.015,-13.44,-23.88,130.62
52.015,-14.12,-24.81,124.44
53.025,-7.38,-22.50,117.69
54.018,-11.06,-21.19,120.44
55.018,6.06,-22.62,85.38
56.019,17.88,-17.19,40.62
57.019,11.94,0.62,342.69
58.019,-0.44,-3.69,316.62
59.018,-1.50,-3.19,296.81
60.019,-3.00,-0.69,294.62
